시군구,회사명,도로명주소,데이터기준일자
안산시,(주)조은이엔지,"경기도 안산시 상록구 일동로 22, 303호, 304호 (일동, 원영빌딩)",2024-02-13
안산시,(주)조인앤조인,경기도 안산시 상록구 선진로 49 (사동),2024-02-13
안산시,(주)조흥,경기도 안산시 단원구 영전로 392 (대부동동),2024-02-13
안산시,(주)좋은아침,경기도 안산시 상록구 오목로13길 12 (본오동),2024-02-13
안산시,(주)주은코퍼레이션,"경기도 안산시 단원구 광덕3로 31,  2층 (초지동)",2024-02-13
안산시,(주)지룩스,"경기도 안산시 상록구 충장로 282, 4층 (이동)",2024-02-13
안산시,(주)지엔텍,"경기도 안산시 단원구 와동공원로1길 21,  2층 (와동)",2024-02-13
안산시,(주)지제이아이앤씨,"경기도 안산시 단원구 선이로 14, 3층 3001호 (선부동, 안산종합시장)",2024-02-13
안산시,(주)진진,"경기도 안산시 단원구 원포공원1로 60, 다인프라자204호 204호 (초지동)",2024-02-13
안산시,(주)창조인,경기도 안산시 상록구 청곡길 86 (부곡동),2024-02-13
안산시,(주)청진바이오텍,"경기도 안산시 상록구 성안2길 15, 3,4층 (주)청진바이오텍 (사동, 정도빌딩)",2024-02-13
안산시,(주)청화사 제1공장,경기도 안산시 상록구 도금단지2길 30 (팔곡이동),2024-02-13
안산시,(주)청화사 제2공장,"경기도 안산시 상록구 도금단지2길 28 (팔곡이동, (주)청화사)",2024-02-13
안산시,(주)칠성기업,"경기도 안산시 상록구 선진1길 10 (사동, 신형산업(주))",2024-02-13
안산시,(주)카이넥스엠,"경기도 안산시 상록구 감골로 31, 4층 (사동)",2024-02-13
안산시,(주)케이시스,"경기도 안산시 상록구 팔곡산단2길 14, B동 (팔곡이동)",2024-02-13
안산시,(주)케이에스하이테크,경기도 안산시 상록구 도금단지2길 17-10 (팔곡이동) 1층,2024-02-13
안산시,(주)케이엔비테크,"경기도 안산시 단원구 광덕3로 61, 3층 (초지동)",2024-02-13
안산시,(주)케이엠엔텍,"경기도 안산시 단원구 원포공원로 54 (초지동, 프라임아트)",2024-02-13
안산시,(주)퀀텀캣,"경기도 안산시 상록구 안산테콤1길 8, 1층(사사동)",2024-02-13
안산시,(주)키트로닉스,"경기도 안산시 단원구 광덕4로 144,  트윈타워 306호 (고잔동)",2024-02-13
안산시,(주)타임테크,경기도 안산시 상록구 남산평길 107 (팔곡일동),2024-02-13
안산시,(주)태광프랜트,"경기도 안산시 상록구 수인로 1773,  84-5,87-13,87-14 (부곡동)",2024-02-13
안산시,(주)태랑,"경기도 안산시 상록구 댕이길 2-1, 1층 (사동)",2024-02-13
안산시,(주)태림시스템,"경기도 안산시 상록구 성호로14길 9, 302호 (부곡동)",2024-02-13
안산시,(주)태성솔루텍,경기도 안산시 상록구 안산테콤1길 35 (사사동),2024-02-13
안산시,(주)태진피앤씨,"경기도 안산시 상록구 선진2길 9 (사동, 가동)",2024-02-13
안산시,(주)태진피앤씨,경기도 안산시 상록구 팔곡산단4길 43 (팔곡이동),2024-02-13
안산시,(주)텍코,"경기도 안산시 상록구 동막2길 28-3, 1층(장상동)",2024-02-13
안산시,(주)투윈테크놀러지,경기도 안산시 상록구 노리울길 14-3(장상동),2024-02-13
안산시,(주)티에스씨테크놀러지,"경기도 안산시 단원구 광덕4로 148, 트윈타워비동 504호~507호 (고잔동)",2024-02-13
안산시,(주)티엘이,"경기도 안산시 상록구 수인로 736, 1층, 3층(사사동)",2024-02-13
안산시,(주)티피엔,경기도 안산시 상록구 안산테콤1길 21 (사사동),2024-02-13
