법정동코드,시도명,시군구명,법정동명,도로명코드,도로명,행정동코드,행정동명,우편번호,업체코드,데이터기준일자
4127110200,경기도,안산시 상록구,이동,413000000000,박우물3길,4127151500,이동,15492,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,박우물1길,4127151500,이동,15492,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,박우물2길,4127151500,이동,15492,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,박우물1길,4127151500,이동,15492,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,항가울로,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,박우물로,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,삼태기2길,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,삼태기1길,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석호로,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,삼태기3길,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕1로,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,삼태기로,4127151500,이동,15496,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,삼태기로,4127151500,이동,15496,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕3로,4127151500,이동,15489,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,양지편2길,4127151500,이동,15489,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,양지편3길,4127151500,이동,15489,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석호로,4127151500,이동,15489,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,양지편로,4127151500,이동,15489,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,이동공원로,4127151500,이동,15489,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석호로,4127151500,이동,15493,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,석호로,4127151500,이동,15494,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕1로,4127151500,이동,15494,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,양지편1길,4127151500,이동,15494,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,양지편로,4127151500,이동,15494,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,양지편로,4127151500,이동,15494,5,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,광덕1로,4127151500,이동,15495,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,중보로,4127151500,이동,15495,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,중보1길,4127151500,이동,15495,13,2023-11-09
4127110200,경기도,안산시 상록구,이동,413000000000,중앙대로,4127151500,이동,15508,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로2길,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,해안로,4127153000,사2동,15627,13,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로4길,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,해안로,4127153000,사2동,15627,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,해안로,4127154000,본오1동,15634,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,해안로,4127154000,본오1동,15635,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,해안로,4127153000,사2동,15634,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학로,4127153500,사3동,15587,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학1길,4127153500,사3동,15587,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,학사2길,4127153500,사3동,15587,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,학사4길,4127153500,사3동,15587,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학2길,4127153500,사3동,15587,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,학사6길,4127153500,사3동,15587,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학1길,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,학사7길,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,학사5길,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,학사3길,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학2길,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학3길,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,학사1길,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학로,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,항가울로,4127153500,사3동,15586,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,한양대학1길,4127153500,사3동,15588,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호로,4127152000,사1동,15579,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,용신로,4127152000,사1동,15579,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로1길,4127152000,사1동,15580,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호로,4127152000,사1동,15580,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,용신로,4127152000,사1동,15580,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로1길,4127152000,사1동,15580,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로,4127152000,사1동,15580,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로,4127152000,사1동,15580,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호로,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로2길,4127152000,사1동,15581,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로,4127152000,사1동,15581,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로,4127152000,사1동,15581,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로3길,4127152000,사1동,15581,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로4길,4127152000,사1동,15581,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로3길,4127152000,사1동,15581,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,용신로,4127152000,사1동,15581,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로3길,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,석호공원로5길,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,서암로4길,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,용신로,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화3길,4127152000,사1동,15584,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화로,4127152000,사1동,15584,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,용신로,4127152000,사1동,15584,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화6길,4127152000,사1동,15584,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화2길,4127152000,사1동,15584,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,감골로,4127152000,사1동,15584,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,용신로,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화1길,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화로,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화4길,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화6길,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화5길,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화3길,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화1길,4127152000,사1동,15582,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,이화2길,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,감골로,4127152000,사1동,15583,7,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,항가울로,4127153500,사3동,15588,5,2023-11-09
4127110300,경기도,안산시 상록구,사동,413000000000,해안로,4127153500,사3동,15588,5,2023-11-09
